iter	Passed	Remaining
318	1471	3142
319	1476	3136
320	1481	3133
321	1485	3127
322	1489	3121
323	1493	3116
324	1498	3111
325	1502	3106
326	1509	3106
327	1515	3104
328	1522	3104
329	1526	3100
330	1532	3097
331	1536	3091
332	1541	3087
333	1545	3082
334	1550	3077
335	1554	3071
336	1558	3066
337	1563	3061
338	1567	3056
339	1572	3052
340	1578	3049
341	1583	3047
342	1588	3042
343	1593	3039
344	1598	3035
345	1603	3031
346	1609	3028
347	1614	3025
348	1620	3022
349	1625	3019
350	1631	3016
351	1635	3010
352	1639	3005
353	1645	3003
354	1650	2998
355	1655	2994
356	1660	2990
357	1664	2985
358	1669	2980
359	1673	2975
360	1679	2972
361	1684	2968
362	1688	2963
363	1693	2958
364	1697	2952
365	1700	2946
366	1706	2942
367	1710	2937
368	1714	2931
369	1717	2924
370	1722	2920
371	1726	2914
372	1730	2909
373	1734	2902
374	1738	2897
375	1742	2892
376	1746	2886
377	1750	2881
378	1755	2877
379	1759	2870
380	1762	2864
381	1766	2857
382	1770	2851
383	1774	2846
384	1779	2841
385	1782	2836
386	1786	2829
387	1790	2824
388	1794	2817
389	1797	2811
390	1801	2805
391	1805	2801
392	1809	2794
393	1812	2788
394	1816	2782
395	1821	2777
396	1825	2773
397	1829	2767
398	1833	2761
399	1837	2756
400	1841	2750
401	1845	2745
402	1849	2740
403	1855	2736
404	1859	2731
405	1863	2726
406	1866	2720
407	1871	2715
408	1876	2711
409	1879	2704
410	1883	2698
411	1887	2693
412	1892	2689
413	1896	2684
414	1900	2679
415	1907	2677
416	1911	2672
417	1915	2667
418	1920	2663
419	1925	2659
420	1929	2653
421	1933	2647
422	1938	2644
423	1943	2639
424	1946	2633
425	1951	2629
426	1955	2624
427	1959	2618
428	1963	2613
429	1967	2607
430	1971	2602
431	1974	2596
432	1979	2592
433	1983	2587
434	1988	2582
435	1993	2578
436	1996	2572
437	2001	2567
438	2005	2562
439	2009	2557
440	2012	2551
441	2018	2547
442	2022	2543
443	2027	2538
444	2030	2532
445	2036	2529
446	2040	2524
447	2044	2518
448	2049	2514
449	2053	2510
450	2057	2504
451	2061	2498
452	2065	2493
453	2070	2489
454	2074	2484
455	2078	2480
456	2083	2475
457	2088	2471
458	2093	2467
459	2096	2461
460	2102	2458
461	2105	2452
462	2109	2446
463	2113	2440
464	2118	2437
465	2122	2431
466	2126	2427
467	2131	2422
468	2135	2417
469	2138	2412
470	2142	2406
471	2147	2401
472	2152	2398
473	2156	2393
474	2160	2388
475	2165	2383
476	2169	2378
477	2174	2374
478	2177	2368
479	2182	2364
480	2186	2359
481	2191	2355
482	2195	2350
483	2201	2346
484	2206	2342
485	2210	2337
486	2214	2332
487	2218	2327
488	2221	2321
489	2226	2316
490	2231	2312
491	2234	2307
492	2238	2302
493	2242	2297
494	2247	2292
495	2250	2286
496	2254	2281
497	2258	2276
498	2262	2271
499	2266	2266
500	2270	2261
501	2274	2256
502	2278	2251
503	2282	2246
504	2286	2241
505	2291	2236
506	2295	2232
507	2299	2227
508	2303	2221
509	2306	2216
510	2313	2213
511	2318	2209
512	2322	2204
513	2325	2199
514	2330	2195
515	2334	2189
516	2337	2184
517	2341	2178
518	2346	2174
519	2350	2169
520	2353	2164
521	2357	2158
522	2361	2153
523	2365	2148
524	2369	2143
525	2372	2138
526	2377	2133
527	2381	2128
528	2385	2123
529	2388	2118
530	2393	2113
531	2397	2109
532	2402	2104
533	2406	2100
534	2412	2096
535	2416	2091
536	2420	2086
537	2423	2081
538	2429	2077
539	2433	2072
540	2436	2067
541	2443	2064
542	2448	2060
543	2452	2055
544	2456	2051
545	2463	2048
546	2467	2043
547	2471	2038
548	2476	2034
549	2479	2029
550	2483	2023
551	2487	2019
552	2492	2014
553	2497	2010
554	2501	2005
555	2505	2000
556	2509	1996
557	2514	1991
558	2519	1987
559	2523	1982
560	2528	1978
561	2532	1973
562	2537	1969
563	2543	1966
564	2548	1961
565	2552	1957
566	2557	1952
567	2562	1949
568	2567	1944
569	2571	1939
570	2575	1935
571	2580	1930
572	2585	1926
573	2591	1923
574	2597	1919
575	2602	1915
576	2607	1911
577	2612	1907
578	2619	1904
579	2624	1900
580	2629	1896
581	2634	1892
582	2638	1887
583	2643	1882
584	2649	1879
585	2656	1876
586	2662	1873
587	2666	1868
588	2670	1863
589	2676	1860
590	2682	1856
591	2686	1851
592	2694	1849
593	2698	1844
594	2702	1839
595	2709	1836
596	2717	1834
597	2721	1829
598	2726	1825
599	2732	1821
600	2737	1817
601	2742	1813
602	2747	1808
603	2752	1804
604	2757	1800
605	2763	1796
606	2767	1791
607	2773	1787
608	2778	1783
609	2782	1779
610	2787	1774
611	2792	1770
612	2796	1765
613	2800	1760
614	2805	1756
615	2810	1752
616	2815	1747
617	2819	1742
618	2823	1737
619	2829	1733
620	2833	1729
621	2839	1725
622	2843	1720
623	2846	1715
624	2851	1711
625	2856	1706
626	2860	1701
627	2865	1697
628	2870	1693
629	2874	1688
630	2879	1683
631	2883	1678
632	2888	1674
633	2893	1670
634	2897	1665
635	2902	1660
636	2905	1655
637	2909	1651
638	2913	1646
639	2918	1641
640	2922	1637
641	2927	1632
642	2930	1627
643	2935	1622
644	2939	1617
645	2943	1612
646	2947	1608
647	2951	1603
648	2956	1598
649	2960	1594
650	2964	1589
651	2970	1585
652	2976	1581
653	2980	1576
654	2984	1571
655	2989	1567
656	2993	1562
657	2997	1558
658	3002	1553
659	3007	1549
660	3010	1544
661	3014	1539
662	3018	1534
663	3022	1529
664	3026	1524
665	3029	1519
666	3033	1514
667	3037	1509
668	3041	1504
669	3045	1499
670	3050	1495
671	3053	1490
672	3058	1486
673	3063	1481
674	3067	1477
675	3071	1472
676	3076	1467
677	3080	1463
678	3085	1458
679	3089	1454
680	3093	1449
681	3098	1444
682	3103	1440
683	3107	1435
684	3111	1430
685	3117	1426
686	3122	1422
687	3126	1417
688	3130	1413
689	3135	1408
690	3139	1403
691	3143	1399
692	3147	1394
693	3151	1389
694	3155	1384
695	3159	1380
696	3163	1375
697	3167	1370
698	3172	1366
699	3176	1361
700	3181	1356
701	3185	1352
702	3189	1347
703	3193	1342
704	3197	1337
705	3201	1333
706	3204	1328
707	3208	1323
708	3213	1319
709	3217	1314
710	3220	1309
711	3224	1304
712	3228	1299
713	3232	1294
714	3237	1290
715	3240	1285
716	3245	1281
717	3250	1276
718	3254	1271
719	3258	1267
720	3263	1262
721	3267	1258
722	3271	1253
723	3275	1248
724	3279	1244
725	3284	1239
726	3288	1234
727	3292	1229
728	3296	1225
729	3299	1220
730	3303	1215
731	3308	1211
732	3313	1206
733	3316	1201
734	3321	1197
735	3325	1192
736	3329	1188
737	3334	1183
738	3338	1179
739	3342	1174
740	3347	1170
741	3351	1165
742	3355	1160
743	3359	1155
744	3363	1151
745	3366	1146
746	3370	1141
747	3374	1136
748	3380	1132
749	3385	1128
750	3388	1123
751	3393	1119
752	3398	1114
753	3402	1110
754	3406	1105
755	3411	1101
756	3415	1096
757	3421	1092
758	3425	1087
759	3431	1083
760	3436	1079
761	3440	1074
762	3445	1070
763	3450	1065
764	3455	1061
765	3462	1057
766	3467	1053
767	3472	1049
768	3479	1045
769	3485	1041
770	3491	1036
771	3495	1032
772	3503	1028
773	3509	1024
774	3513	1020
775	3518	1015
776	3522	1010
777	3526	1006
778	3530	1001
779	3536	997
780	3540	992
781	3546	988
782	3552	984
783	3557	979
784	3562	975
785	3566	971
786	3570	966
787	3576	962
788	3582	957
789	3586	953
790	3592	949
791	3597	944
792	3602	940
793	3606	935
794	3610	931
795	3615	926
796	3620	922
797	3625	917
798	3629	913
799	3634	908
800	3638	904
801	3643	899
802	3648	894
803	3652	890
804	3657	886
805	3662	881
806	3668	877
807	3674	873
808	3679	868
809	3683	864
810	3690	860
811	3697	855
812	3703	851
813	3709	847
814	3715	843
815	3719	838
816	3725	834
817	3730	829
818	3736	825
819	3742	821
820	3746	816
821	3751	812
822	3757	808
823	3763	803
824	3768	799
825	3774	795
826	3779	790
827	3787	786
828	3791	782
829	3797	777
830	3804	773
831	3809	769
832	3814	764
833	3819	760
834	3824	755
835	3829	751
836	3834	746
837	3840	742
838	3845	737
839	3851	733
840	3856	729
841	3861	724
842	3866	720
843	3871	715
844	3876	711
845	3881	706
846	3887	702
847	3892	697
848	3896	693
849	3901	688
850	3906	683
851	3911	679
852	3914	674
853	3919	670
854	3924	665
855	3928	660
856	3932	656
857	3937	651
858	3941	647
859	3946	642
860	3951	637
861	3955	633
862	3960	628
863	3964	624
864	3968	619
865	3973	614
866	3977	610
867	3981	605
868	3986	600
869	3991	596
870	3995	591
871	4000	587
872	4004	582
873	4009	578
874	4014	573
875	4020	569
876	4024	564
877	4028	559
878	4033	555
879	4039	550
880	4044	546
881	4049	541
882	4053	537
883	4058	532
884	4062	527
885	4066	523
886	4071	518
887	4075	513
888	4079	509
889	4084	504
890	4088	500
891	4092	495
892	4097	490
893	4101	486
894	4105	481
895	4108	476
896	4114	472
897	4118	467
898	4122	463
899	4128	458
900	4133	454
901	4138	449
902	4142	445
903	4146	440
904	4151	435
905	4155	431
906	4160	426
907	4164	421
908	4169	417
909	4172	412
910	4178	408
911	4183	403
912	4187	399
913	4193	394
914	4198	390
915	4202	385
916	4206	380
917	4211	376
918	4215	371
919	4219	366
920	4223	362
921	4228	357
922	4233	353
923	4237	348
924	4241	343
925	4245	339
926	4250	334
927	4254	330
928	4260	325
929	4264	321
930	4269	316
931	4274	311
932	4278	307
933	4282	302
934	4286	297
935	4291	293
936	4297	288
937	4302	284
938	4306	279
939	4311	275
940	4315	270
941	4319	265
942	4324	261
943	4328	256
944	4332	252
945	4336	247
946	4342	243
947	4347	238
948	4352	233
949	4357	229
950	4362	224
951	4366	220
952	4370	215
953	4375	210
954	4380	206
955	4384	201
956	4388	197
957	4393	192
958	4398	188
959	4402	183
960	4408	178
961	4413	174
962	4418	169
963	4423	165
964	4428	160
965	4432	156
966	4436	151
967	4440	146
968	4444	142
969	4448	137
970	4452	132
971	4458	128
972	4462	123
973	4467	119
974	4472	114
975	4476	110
976	4480	105
977	4485	100
978	4490	96
979	4493	91
980	4498	87
981	4503	82
982	4508	77
983	4512	73
984	4516	68
985	4521	64
986	4525	59
987	4529	55
988	4534	50
989	4539	45
990	4542	41
991	4546	36
992	4550	32
993	4555	27
994	4559	22
995	4564	18
996	4569	13
997	4573	9
998	4577	4
999	4582	0
