iter	Logloss
0	0.6789249132
1	0.6663464886
2	0.6542173828
3	0.643552108
4	0.6335124228
5	0.6246363931
6	0.616294998
7	0.60868125
8	0.6017167399
9	0.595348292
10	0.5894469295
11	0.5841915197
12	0.5791517671
13	0.5745546672
14	0.5702461032
15	0.5663018915
16	0.5627088669
17	0.5595716671
18	0.5567519942
19	0.55409298
20	0.5516059447
21	0.5494192918
22	0.5472120621
23	0.5449162864
24	0.5431187537
25	0.5414379765
26	0.5397774695
27	0.538104116
28	0.5367603194
29	0.5354716038
30	0.5343600217
31	0.5333810988
32	0.5324149326
33	0.531455162
34	0.5305565979
35	0.5296855328
36	0.5288875429
37	0.5281599206
38	0.5274987596
39	0.5267702803
40	0.5261704579
41	0.5255985187
42	0.5250462986
43	0.5245896335
44	0.524095399
45	0.5235246959
46	0.5230917431
47	0.5226892923
48	0.5223470854
49	0.5219870477
50	0.5216560978
51	0.5213141593
52	0.5209212781
53	0.520655066
54	0.5203293403
55	0.5201079331
56	0.5197881037
57	0.519518355
58	0.5192771471
59	0.5191133976
60	0.5188436584
61	0.518666803
62	0.5184635465
63	0.518223517
64	0.5180321636
65	0.5178493712
66	0.5176508255
67	0.5174956687
68	0.5173181249
69	0.5171888445
70	0.5170247955
71	0.5168931201
72	0.5167144662
73	0.5166065051
74	0.5164621273
75	0.5163015714
76	0.5161513028
77	0.5160198448
78	0.5159053566
79	0.515839442
80	0.5156562598
81	0.5155489579
82	0.5154481797
83	0.5153565294
84	0.5152874612
85	0.5152275052
86	0.5150817989
87	0.5149689391
88	0.5148368934
89	0.514769685
90	0.5146244177
91	0.5145081454
92	0.5144356497
93	0.5143617734
94	0.5142821705
95	0.5142137287
96	0.5141197468
97	0.5139742037
98	0.5138361687
99	0.5137365468
100	0.5136436909
101	0.513561032
102	0.5134679191
103	0.5133824615
104	0.5132542495
105	0.5131622042
106	0.5130824453
107	0.5129848771
108	0.512840125
109	0.5127501285
110	0.5126600824
111	0.5126072312
112	0.5125421117
113	0.5124764135
114	0.5123415831
115	0.5122549376
116	0.5121773684
117	0.51210218
118	0.5120087229
119	0.5119499056
120	0.5118838113
121	0.5117984028
122	0.5117278799
123	0.5116442851
124	0.5115398573
125	0.5114068768
126	0.5113496209
127	0.5112904967
128	0.5112342489
129	0.51115707
130	0.5110573558
131	0.5109842607
132	0.5109248407
133	0.5108131343
134	0.5107338875
135	0.5106938542
136	0.5106674452
137	0.5106167454
138	0.5105460397
139	0.5104630582
140	0.5103756157
141	0.5102799789
142	0.5102134861
143	0.5101418387
144	0.5100222066
145	0.5099827772
146	0.5099214938
147	0.5098574174
148	0.5097636499
149	0.5097279426
150	0.5096363633
151	0.5095638997
152	0.5095012292
153	0.5094140864
154	0.5093314036
155	0.5092763152
156	0.509211984
157	0.5091385786
158	0.50905373
159	0.5089918607
160	0.5089555921
161	0.5088612373
162	0.508775
163	0.5087176116
164	0.5086607375
165	0.5085682378
166	0.5084605838
167	0.5083986851
168	0.5082995117
169	0.5082286329
170	0.5081878868
171	0.5081344372
172	0.5080991113
173	0.508070051
174	0.508021189
175	0.5079066836
176	0.5078103904
177	0.5077535519
178	0.507703284
179	0.5076491257
180	0.5075878393
181	0.507486014
182	0.5074021618
183	0.5073503803
184	0.5072494932
185	0.5071888542
186	0.5071095736
187	0.5070399269
188	0.5069497141
189	0.5068975586
190	0.5068646856
191	0.5067953863
192	0.5067463121
193	0.5067075706
194	0.506670116
195	0.5065868169
196	0.5065221778
197	0.5064936217
198	0.5064531033
199	0.5063878254
200	0.5063379578
201	0.5062990912
202	0.5062073523
203	0.5061568435
204	0.5060647815
205	0.5060120238
206	0.5059880763
207	0.5059269266
208	0.5058651041
209	0.5058128967
210	0.5057602985
211	0.5057217741
212	0.5056349355
213	0.5055375886
214	0.5054892326
215	0.5054399878
216	0.5053283774
217	0.5052719798
218	0.5051892429
219	0.5051256942
220	0.5050406035
221	0.5049835975
222	0.5049005847
223	0.5048455039
224	0.5048149631
225	0.5047707671
226	0.5046926305
227	0.5046259746
228	0.5045258768
229	0.5044808707
230	0.5044293388
231	0.5043483229
232	0.5042458364
233	0.5041727293
234	0.5041056161
235	0.5040050822
236	0.5039228798
237	0.5038366804
238	0.5037326843
239	0.5036667159
240	0.5035999175
241	0.5035132394
242	0.5034284459
243	0.5033676715
244	0.5032908792
245	0.5031801116
246	0.503122492
247	0.5030091092
248	0.5029247387
249	0.5028515619
250	0.5028094734
251	0.5027334509
252	0.50263006
253	0.5025662638
254	0.5024861674
255	0.5024305157
256	0.5023341028
257	0.5022321861
258	0.5021247623
259	0.5020286338
260	0.5019212731
261	0.5018198516
262	0.5016976587
263	0.5016227891
264	0.5015126959
265	0.5014654886
